,countryCode,elevation_DEM,genus,lat,lon,species,bio1,bio3,bio4,bio7,bio12,bio15,.geo,geometry
19735,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19736,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19737,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19738,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19739,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19740,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19741,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19742,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19743,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19744,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19745,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19746,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19747,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19748,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19749,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19750,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19751,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
